<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.13	22:00:00	19339.40	19372.65	19216.15	19237.15	0	0	0
2025.03.13	22:30:00	19237.77	19259.15	19161.27	19228.90	0	0	0
2025.03.13	23:00:00	19229.52	19304.82	19223.02	19287.45	0	0	0
2025.03.13	23:30:00	19287.70	19295.57	19266.45	19272.70	0	0	0
2025.03.14	01:00:00	19285.08	19326.21	19282.58	19315.21	0	0	0
2025.03.14	01:30:00	19315.46	19358.83	19309.58	19339.71	0	0	0
2025.03.14	02:00:00	19339.33	19362.46	19329.08	19343.33	0	0	0
2025.03.14	02:30:00	19343.08	19351.96	19326.21	19333.33	0	0	0
2025.03.14	03:00:00	19346.46	19369.58	19312.33	19356.21	0	0	0
2025.03.14	03:30:00	19356.08	19402.58	19355.71	19377.96	0	0	0
2025.03.14	04:00:00	19379.08	19391.83	19369.83	19381.08	0	0	0
2025.03.14	04:30:00	19380.96	19409.71	19365.08	19379.96	0	0	0
2025.03.14	05:00:00	19380.21	19405.58	19378.21	19399.71	0	0	0
2025.03.14	05:30:00	19399.83	19416.71	19388.33	19412.96	0	0	0
2025.03.14	06:00:00	19412.71	19435.83	19410.33	19428.46	0	0	0
2025.03.14	06:30:00	19428.71	19434.33	19421.58	19427.71	0	0	0
2025.03.14	07:00:00	19426.46	19436.08	19416.33	19417.46	0	0	0
2025.03.14	07:30:00	19416.96	19422.21	19408.83	19419.08	0	0	0
2025.03.14	08:00:00	19418.71	19431.83	19400.21	19403.33	0	0	0
2025.03.14	08:30:00	19403.71	19406.71	19381.96	19387.83	0	0	0
2025.03.14	09:00:00	19388.08	19393.21	19368.46	19376.43	0	0	0
2025.03.14	09:30:00	19376.56	19397.56	19361.18	19390.18	0	0	0
2025.03.14	10:00:00	19389.31	19389.31	19350.93	19369.31	0	0	0
2025.03.14	10:30:00	19368.06	19398.81	19347.68	19369.06	0	0	0
2025.03.14	11:00:00	19365.56	19430.31	19352.31	19421.06	0	0	0
2025.03.14	11:30:00	19422.68	19428.06	19393.18	19405.18	0	0	0
2025.03.14	12:00:00	19405.31	19436.93	19405.31	19418.18	0	0	0
2025.03.14	12:30:00	19418.31	19432.06	19404.31	19419.06	0	0	0
2025.03.14	13:00:00	19419.31	19424.56	19393.06	19403.56	0	0	0
2025.03.14	13:30:00	19402.56	19462.93	19376.43	19434.31	0	0	0
2025.03.14	14:00:00	19433.31	19445.81	19401.56	19424.81	0	0	0
2025.03.14	14:30:00	19425.06	19464.31	19419.81	19449.31	0	0	0
2025.03.14	15:00:00	19449.81	19499.68	19444.56	19499.68	0	0	0
2025.03.14	15:30:00	19499.56	19510.43	19465.18	19472.93	0	0	0
2025.03.14	16:00:00	19473.56	19485.81	19435.68	19442.56	0	0	0
2025.03.14	16:30:00	19442.93	19597.78	19430.31	19522.16	0	0	0
2025.03.14	17:00:00	19523.91	19559.41	19419.03	19453.66	0	0	0
2025.03.14	17:30:00	19453.28	19587.91	19445.53	19587.78	0	0	0
2025.03.14	18:00:00	19587.28	19640.16	19569.78	19622.16	0	0	0
2025.03.14	18:30:00	19621.91	19679.78	19617.41	19657.41	0	0	0
2025.03.14	19:00:00	19657.53	19666.78	19585.66	19592.16	0	0	0
2025.03.14	19:30:00	19592.41	19684.16	19581.78	19664.03	0	0	0
2025.03.14	20:00:00	19664.16	19684.03	19619.53	19630.28	0	0	0
2025.03.14	20:30:00	19629.78	19649.28	19597.16	19607.03	0	0	0
2025.03.14	21:00:00	19607.16	19650.41	19589.78	19609.91	0	0	0
2025.03.14	21:30:00	19609.41	19680.66	19608.91	19652.41	0	0	0
2025.03.14	22:00:00	19652.03	19689.53	19639.78	19645.78	0	0	0
2025.03.14	22:30:00	19645.91	19719.78	19627.78	19684.03	0	0	0
2025.03.14	23:00:00	19683.41	19683.41	19618.21	19634.08	0	0	0
2025.03.14	23:30:00	19634.33	19646.83	19629.46	19645.83	0	0	0
2025.03.17	01:00:00	19651.04	19675.41	19582.16	19603.91	0	0	0
2025.03.17	01:30:00	19604.79	19610.29	19548.66	19558.91	0	0	0
2025.03.17	02:00:00	19559.54	19579.91	19540.16	19578.04	0	0	0
2025.03.17	02:30:00	19578.16	19599.79	19571.04	19573.66	0	0	0
2025.03.17	03:00:00	19571.29	19588.29	19553.66	19573.54	0	0	0
2025.03.17	03:30:00	19573.16	19611.41	19572.66	19590.66	0	0	0
2025.03.17	04:00:00	19589.79	19617.04	19587.54	19605.04	0	0	0
2025.03.17	04:30:00	19604.79	19614.16	19592.41	19597.91	0	0	0
2025.03.17	05:00:00	19597.79	19599.79	19580.79	19597.91	0	0	0
2025.03.17	05:30:00	19598.16	19599.41	19587.54	19591.04	0	0	0
2025.03.17	06:00:00	19590.29	19598.41	19575.29	19582.54	0	0	0
2025.03.17	06:30:00	19584.79	19591.79	19573.29	19574.29	0	0	0
2025.03.17	07:00:00	19573.16	19595.04	19573.04	19580.54	0	0	0
2025.03.17	07:30:00	19580.04	19593.16	19578.79	19584.54	0	0	0
2025.03.17	08:00:00	19583.91	19587.29	19574.04	19584.79	0	0	0
2025.03.17	08:30:00	19584.91	19588.79	19577.04	19582.41	0	0	0
2025.03.17	09:00:00	19582.29	19590.29	19551.51	19557.51	0	0	0
2025.03.17	09:30:00	19558.01	19570.64	19555.64	19565.76	0	0	0
2025.03.17	10:00:00	19565.89	19569.76	19543.39	19564.76	0	0	0
2025.03.17	10:30:00	19564.01	19582.51	19544.14	19579.64	0	0	0
2025.03.17	11:00:00	19581.26	19605.89	19564.26	19601.76	0	0	0
2025.03.17	11:30:00	19602.14	19615.89	19583.89	19608.26	0	0	0
2025.03.17	12:00:00	19608.01	19618.26	19593.39	19610.51	0	0	0
2025.03.17	12:30:00	19610.76	19625.39	19602.39	19613.64	0	0	0
2025.03.17	13:00:00	19613.51	19642.64	19606.26	19641.64	0	0	0
2025.03.17	13:30:00	19641.39	19677.51	19634.51	19668.76	0	0	0
2025.03.17	14:00:00	19667.39	19705.76	19665.89	19686.64	0	0	0
2025.03.17	14:30:00	19687.64	19703.14	19668.39	19672.14	0	0	0
2025.03.17	15:00:00	19672.39	19677.26	19649.26	19659.51	0	0	0
2025.03.17	15:30:00	19673.26	19767.01	19653.01	19741.14	0	0	0
2025.03.17	16:00:00	19740.89	19742.39	19674.89	19688.64	0	0	0
2025.03.17	16:30:00	19688.89	19836.24	19673.39	19778.24	0	0	0
2025.03.17	17:00:00	19778.61	19806.11	19703.61	19705.24	0	0	0
2025.03.17	17:30:00	19703.61	19746.99	19660.61	19675.86	0	0	0
2025.03.17	18:00:00	19676.11	19722.61	19643.74	19669.74	0	0	0
2025.03.17	18:30:00	19669.86	19690.24	19617.86	19671.24	0	0	0
2025.03.17	19:00:00	19670.86	19733.49	19645.74	19657.24	0	0	0
2025.03.17	19:30:00	19657.61	19703.49	19644.49	19687.86	0	0	0
2025.03.17	20:00:00	19687.74	19759.86	19662.99	19750.24	0	0	0
2025.03.17	20:30:00	19750.86	19822.36	19738.86	19804.74	0	0	0
2025.03.17	21:00:00	19804.49	19911.99	19803.74	19906.61	0	0	0
2025.03.17	21:30:00	19906.49	19947.49	19898.99	19926.24	0	0	0
2025.03.17	22:00:00	19925.74	19933.24	19891.11	19906.36	0	0	0
2025.03.17	22:30:00	19906.74	19918.74	19815.61	19822.74	0	0	0
2025.03.17	23:00:00	19820.99	19824.41	19789.91	19824.04	0	0	0
2025.03.17	23:30:00	19823.54	19826.79	19809.41	19817.16	0	0	0
2025.03.18	01:00:00	19824.12	19847.75	19824.12	19841.75	0	0	0
2025.03.18	01:30:00	19841.25	19851.25	19837.12	19843.87	0	0	0
2025.03.18	02:00:00	19843.75	19845.87	19811.25	19820.12	0	0	0
