direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,SR+FIB,candle,2.5,14,5,138,0.30434782608695654,0.06521739130434782,9.0,1.09375,0.04477611940298507,0.08450704225352113,7,10
long,FIB,macd,2.5,9,3,191,0.3036649214659686,0.06282722513089005,12.0,1.0902255639097744,0.09375,0.04054054054054054,6,10
long,SR+BB,macd,1.5,14,3,328,0.4237804878048781,0.06197875710459894,20.329032330308454,1.1080349034819936,0.04948955916473334,0.07250336211010366,7,10
long,BB+FIB,macd,2.5,14,3,99,0.30303030303030304,0.06060606060606061,6.0,1.0869565217391304,0.10526315789473684,0.03278688524590164,6,10
long,SR+FIB,macd,2.5,9,3,172,0.3023255813953489,0.05813953488372093,10.0,1.0833333333333333,0.1,0.029411764705882353,5,10
long,SR+BB+FIB,candle,1.5,9,3,206,0.4223300970873786,0.05472626752966549,11.27361111111109,1.0945563412275898,-0.05843253968253989,0.1574074074074074,7,10
long,SR+BB,candle+macd,2.5,14,3,526,0.3022813688212928,0.05443892713622009,28.634875673651766,1.0776296640294936,0.08948204705007641,0.015751322751322704,7,10
long,BB,macd,2.5,14,3,469,0.30063965884861404,0.05193086051047702,24.355573579413722,1.0742221156857221,0.12541130875562714,-0.008163614604742674,6,10
long,BB,candle,2.5,14,3,892,0.30269058295964124,0.048582447940682845,43.3355435630891,1.068605322210998,0.07610250416757271,0.022032261536767083,6,10
long,SR+BB,candle,2.5,14,3,633,0.30173775671406006,0.04587054929211178,29.03605770190676,1.0647455792167269,0.08410122100122107,0.005529743105551674,6,10
long,FIB,candle,2.5,14,5,161,0.2981366459627329,0.043478260869565216,7.0,1.0619469026548674,0.03205128205128205,0.05421686746987952,7,10
long,SR,macd,2.5,9,3,596,0.2986577181208053,0.04253780230942391,25.35253017641665,1.0604138759303723,0.0016134719163111817,0.0780739763498384,4,10
long,SR+FIB,macd,1.5,14,5,60,0.4166666666666667,0.041666666666666664,2.5,1.0714285714285714,0.0,0.08333333333333333,5,9
