direction,k,tol,bottoms,entry,tp,trades,avg_r,net05,winrate,pf,h1_avg_r,h2_avg_r,pos_ds,n_ds
long,5,0.5,3,confirm,measured,26,-0.18772488189805908,-0.26997905672557354,0.5384615384615384,0.6105309922725493,-0.33999881328375386,-0.12004757905997253,0,3
long,5,0.5,3,touch,measured,35,-0.19872906170099533,-0.29276321222257135,0.45714285714285713,0.6565168762985724,-0.2675912215258489,-0.1748921602231614,0,3
short,5,1.0,3,touch,3.5R,127,-0.2041370302829545,-0.29379768544774826,0.21259842519685035,0.7547157058242872,-0.2539371623525734,-0.14852688280521337,2,7
short,5,1.0,3,confirm,1.5R,96,-0.22786940860568178,-0.30695929029694335,0.31250000000000006,0.7083956705772025,-0.14255304899326846,-0.3245612828330835,2,6
short,5,1.0,3,confirm,3.5R,95,-0.235210590624175,-0.31466183894993077,0.2,0.716525836697394,-0.31903488387356677,-0.14207248701373976,1,6
short,5,0.5,3,touch,1.5R,37,-0.20889699741278167,-0.3194202902611608,0.32432432432432434,0.9391402435555057,-0.5785994956487696,0.3333333333333339,1,4
short,3,1.0,3,confirm,3.5R,219,-0.2288025422481529,-0.32032336861828653,0.2100456621004566,0.7347104928767485,-0.23966196655174252,-0.21611529405187993,1,9
long,5,0.5,3,confirm,1.5R,26,-0.25161853587355143,-0.33387271070106583,0.3076923076923077,0.654050662599657,-0.4297115200922926,-0.17246609844299976,0,3
long,5,0.5,3,touch,3.5R,35,-0.24393402420387428,-0.3379681747254503,0.22857142857142856,0.7030171062239443,-0.40679993124982183,-0.1875573640725848,1,3
long,5,0.5,3,touch,2.5R,35,-0.25106949122243705,-0.3451036417440131,0.2571428571428571,0.6719385593448975,-0.5179110423609361,-0.15870126198218742,0,3
short,5,0.5,3,touch,2.5R,37,-0.2979903605459789,-0.408513653394358,0.21621621621621623,0.6795900180599821,-0.7738928791000549,0.3999999999999994,1,4
