symbol,tf,direction,level,closeback,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,PD,2,False,break,2.5,96,0.2708333333333333,-0.0748963963963966,-7.190054054054073,0.9004010434918037,65.0,72.19005405405407,0.00369245868300892,2.309945945945927,-9.5,48,48
US100,M15,long,PD,2,False,break,3.5,95,0.2,-0.16567949650775154,-15.739552168236397,0.7987013519986137,62.45050188581767,78.19005405405407,0.0036754798501120846,-2.0121496944019412,-13.727402473834456,47,48
US100,M15,long,PD,1,True,next_open,1.5,43,0.3953488372093023,-0.011627906976744186,-0.5,0.9807692307692307,25.5,26.0,0.001819211366609502,0.5,-1.0,22,21
US100,M15,long,PD,1,True,next_open,2.5,43,0.3488372093023256,0.22093023255813954,9.5,1.3392857142857142,37.5,28.0,0.001819211366609502,2.5,7.0,22,21
US100,M15,long,PD,1,True,next_open,3.5,43,0.27906976744186046,0.2558139534883721,11.0,1.3548387096774193,42.0,31.0,0.001819211366609502,5.0,6.0,22,21
US100,M15,long,PD,1,True,break,1.5,27,0.2962962962962963,-0.34037237237237306,-9.190054054054073,0.5663034161870939,12.0,21.190054054054073,0.0031732373108981074,-8.690054054054073,-0.5,14,13
US100,M15,long,PD,1,True,break,2.5,27,0.18518518518518517,-0.43296496496496567,-11.690054054054073,0.5167413008696892,12.5,24.190054054054073,0.0031732373108981074,-5.690054054054073,-6.0,14,13
US100,M15,long,PD,1,True,break,3.5,27,0.14814814814814814,-0.4144464464464472,-11.190054054054073,0.555774909015999,14.0,25.190054054054073,0.0031732373108981074,-7.190054054054073,-4.0,14,13
US100,M15,long,PD,2,True,next_open,1.5,48,0.3541666666666667,-0.11458333333333333,-5.5,0.8225806451612904,25.5,31.0,0.0018949463566261076,0.5,-6.0,22,26
US100,M15,long,PD,2,True,next_open,2.5,48,0.3125,0.09375,4.5,1.1363636363636365,37.5,33.0,0.0018949463566261076,2.5,2.0,22,26
US100,M15,long,PD,2,True,next_open,3.5,48,0.25,0.125,6.0,1.1666666666666667,42.0,36.0,0.0018949463566261076,5.0,1.0,22,26
US100,M15,long,PD,2,True,break,1.5,31,0.25806451612903225,-0.4254856146469056,-13.190054054054073,0.4763784934422849,12.0,25.190054054054073,0.0031746467245585635,-8.690054054054073,-4.5,14,17
US100,M15,long,PD,2,True,break,2.5,31,0.16129032258064516,-0.5061307759372282,-15.690054054054073,0.44341880210770107,12.5,28.190054054054073,0.0031746467245585635,-5.690054054054073,-10.0,14,17
US100,M15,long,PD,2,True,break,3.5,31,0.12903225806451613,-0.49000174367916366,-15.190054054054073,0.47961541880240555,14.0,29.190054054054073,0.0031746467245585635,-7.190054054054073,-8.0,14,17
US100,M15,short,PD,1,False,next_open,1.5,137,0.38686131386861317,-0.06463370752568201,-8.854817931018435,0.8997811535537125,79.5,88.35481793101843,0.0011772004568701084,-0.15825242718449406,-8.69656550383394,62,75
US100,M15,short,PD,1,False,next_open,2.5,137,0.2773722627737226,-0.060984072489185644,-8.354817931018433,0.9191637303585146,95.0,103.35481793101843,0.0011772004568701084,-6.658252427184494,-1.6965655038339396,62,75
US100,M15,short,PD,1,False,next_open,3.5,137,0.22627737226277372,-0.013538817014733086,-1.8548179310184327,0.9831922342332361,108.5,110.35481793101843,0.0011772004568701084,-13.158252427184493,11.30343449616606,62,75
US100,M15,short,PD,1,False,break,1.5,89,0.3146067415730337,-0.21348314606741572,-19.0,0.6885245901639344,42.0,61.0,0.0023168014400800647,-4.5,-14.5,42,47
US100,M15,short,PD,1,False,break,2.5,89,0.20224719101123595,-0.29213483146067415,-26.0,0.6338028169014085,45.0,71.0,0.0023168014400800647,-14.0,-12.0,42,47
US100,M15,short,PD,1,False,break,3.5,89,0.19101123595505617,-0.1404494382022472,-12.5,0.8263888888888888,59.5,72.0,0.0023168014400800647,-10.5,-2.0,42,47
